Descripteur,Distance,MAP,MAP@10
hist_pond_sat,euclidienne,0.1659731972865656,0.2754742063492063
hist_pond_sat,manhattan,0.2143521837015509,0.3352212301587301
hist_pond_sat,cosinus,0.1807754319244409,0.2723789682539682
hist_cumule,euclidienne,0.1503391224626671,0.2546805555555556
hist_cumule,manhattan,0.1558265036394024,0.2588035714285714
hist_cumule,cosinus,0.1659023607524327,0.2569503968253968
hist_entropie,euclidienne,0.0829800412040197,0.1418948412698412
hist_entropie,manhattan,0.1123087137860493,0.1991512896825396
hist_entropie,cosinus,0.1398428237984627,0.2424960317460317
lbp,euclidienne,0.0846689610880919,0.1087681878306878
lbp,manhattan,0.0959975126635397,0.1361448412698412
lbp,cosinus,0.09144168249033,0.1372043650793651
glcm,euclidienne,0.0703129863687317,0.1071011904761904
glcm,manhattan,0.0728150326684469,0.1154444444444444
glcm,cosinus,0.0872036443949058,0.1289160052910053
desc_stat,euclidienne,0.0786554771012563,0.1116949404761904
desc_stat,manhattan,0.0989582810250169,0.141516865079365
desc_stat,cosinus,0.0924116278966161,0.1571111111111111
desc_forme_sobel,euclidienne,0.1153933331068373,0.1907113095238095
desc_forme_sobel,manhattan,0.1283992032058224,0.2086845238095238
desc_forme_sobel,cosinus,0.1225389522963597,0.1978382936507936
desc_forme_prewitt,euclidienne,0.1131292741444806,0.1788154761904761
desc_forme_prewitt,manhattan,0.1256924693964661,0.2016289682539682
desc_forme_prewitt,cosinus,0.1236728881808344,0.1941934523809524
desc_forme_roberts,euclidienne,0.1089961474668597,0.1789980158730159
desc_forme_roberts,manhattan,0.1243785412601466,0.2073829365079365
desc_forme_roberts,cosinus,0.1167980286777618,0.1813511904761904
hist_rgb,euclidienne,0.1474085797199389,0.2537202380952381
hist_rgb,manhattan,0.1656899230616389,0.2823475529100528
hist_rgb,cosinus,0.1623632893234263,0.2772250330687831
lbp_blocs,euclidienne,0.1084745117638706,0.1789623015873016
lbp_blocs,manhattan,0.1260571989347575,0.2159623015873016
lbp_blocs,cosinus,0.1124573780720821,0.2030674603174603
desc_stat_complet,euclidienne,0.0786658551142144,0.1116949404761904
desc_stat_complet,manhattan,0.0997541359668654,0.1450922619047619
desc_stat_complet,cosinus,0.0925487409604198,0.1574801587301587
desc_stat_entropy,euclidienne,0.0786556331561877,0.1116949404761904
desc_stat_entropy,manhattan,0.0989953762700511,0.141625992063492
desc_stat_entropy,cosinus,0.0924068541530043,0.1571111111111111
cds,euclidienne,0.161658762505517,0.2606468253968254
cds,manhattan,0.1554687723288385,0.2427430555555555
cds,cosinus,0.163632080740479,0.2563584656084656
dcd,euclidienne,0.1248968281408201,0.2320406746031746
dcd,manhattan,0.1266389538945443,0.2272420634920634
dcd,cosinus,0.1111178035852728,0.2114047619047619
ccd,euclidienne,0.1191424453918174,0.1937127976190476
ccd,manhattan,0.1457563840610551,0.238303406084656
ccd,cosinus,0.1267923348487906,0.1991289682539682
hog,euclidienne,0.1023504518426995,0.1421835317460317
hog,manhattan,0.1349938772379007,0.206500992063492
hog,cosinus,0.0920642234239453,0.1261755952380952
hog_non_pondere,euclidienne,0.1058185801659117,0.1556502976190476
hog_non_pondere,manhattan,0.1293809449638494,0.1948581349206349
hog_non_pondere,cosinus,0.1058185801659117,0.1556502976190476
hog_blocs,euclidienne,0.1083946760820062,0.1717996031746031
hog_blocs,manhattan,0.1235854765620317,0.2046349206349206
hog_blocs,cosinus,0.1074073476263108,0.1710436507936507
desc_cnn,euclidienne,0.6865468354658367,0.7942371031746032
desc_cnn,manhattan,0.6629191395141865,0.7733482142857142
desc_cnn,cosinus,0.7753779620147441,0.8405444775132276
desc_ann_pretrained,euclidienne,0.6903786128842517,0.7997723214285714
desc_ann_pretrained,manhattan,0.6818773827304028,0.8047157738095236
desc_ann_pretrained,cosinus,0.7778779017407109,0.84211541005291
desc_ann,euclidienne,0.1652809797158134,0.2577820767195767
desc_ann,manhattan,0.16186626861424228,0.2500342261904762
desc_ann,cosinus,0.13727153756650673,0.2227463624338624
desc_ann_dataset,euclidienne,0.18302552529147265,0.2858244047619048
desc_ann_dataset,manhattan,0.1829671437252882,0.2835595238095238
desc_ann_dataset,cosinus,0.19071640300129708,0.2861875
